name,lat,lng,type,state,district,operator
Hindustan Petroleum Corporation Limited,31.3881732,77.5574999,petrol_pump,,,
Hindustan Petroleum Corporation Limited,31.3930595,77.5884835,petrol_pump,,,
Bharat Petroleum Corporation Limited,31.4580644,77.6593586,petrol_pump,,,
Indian Oil Corporation Limited,31.5212448,77.7679004,petrol_pump,,,
HP,17.2514898,80.1574383,petrol_pump,,,
Petrol Pump,17.4020866,78.5093523,petrol_pump,,,
Petrol Pump,17.40581,78.513264,petrol_pump,,,
Petrol bunk,17.2505522,80.1448326,petrol_pump,,,
M.B.R Fuel Point,17.4850231,78.4968743,petrol_pump,,,
Petrol Pump,19.1808281,73.2222738,petrol_pump,,,
Indian Oil,25.9283187,83.5711021,petrol_pump,,,Indian Oil
Indian Oil,25.9348177,83.5669181,petrol_pump,,,Indian Oil
Indian Oil,25.9633105,83.5803692,petrol_pump,,,Indian Oil
Petrol Pump,25.9684857,83.6081231,petrol_pump,,,
Petrol Pump,26.0636121,83.6567357,petrol_pump,,,
Petrol Pump,26.0372135,83.7465527,petrol_pump,,,
Petrol Pump,25.9688828,83.5959564,petrol_pump,,,
Bharat Petrolium,26.119679,83.8590517,petrol_pump,,,Bharat Petrolium
Bharat Petroleum,12.9758396,77.5985677,petrol_pump,,,
Indian Oil,13.2631868,76.4531386,petrol_pump,,,
Indian Oil,10.8449272,76.031949,petrol_pump,,,Hindustan Petroleum
Indian Oil,10.8395074,76.0300801,petrol_pump,,,Indian Oil
Bharat Petroleum,18.9367891,72.8396991,petrol_pump,,,Bharat Petroleum
Petrol Pump,19.4292962,72.8720082,petrol_pump,,,
PLA Petrok Bunk,10.777508,79.1416009,petrol_pump,,,
HP,17.2640633,80.1460573,petrol_pump,,,
Petrol Pump,13.1085927,80.2435965,petrol_pump,,,
Kedari Petrol Pump,18.4865476,73.8986607,petrol_pump,Maharashtra,,
Bharat Petroleum Corporation Limited,32.0844147,76.5201584,petrol_pump,,,
Hindustan Petroleum Corporation Limited,32.0964391,76.5308483,petrol_pump,,,
Indian Oil Corporation Limited,32.1025994,76.5340998,petrol_pump,,,
Indian Oil,25.5417224,83.2665963,petrol_pump,,,Indian Oil
Indian Oil,25.5449342,83.3304886,petrol_pump,,,Indian Oil
Indian Oil,25.5459651,83.3768475,petrol_pump,,,Indian Oil
HP,25.567077,83.4707863,petrol_pump,,,HP
Bharat Petrolium,25.5786498,83.5035431,petrol_pump,,,Bharat Petrolium
Indian Oil,25.5783509,83.5573436,petrol_pump,,,Indian Oil
Bharat Petrolium,25.6283152,83.5661881,petrol_pump,,,Bharat Petrolium
IBP,25.6796435,83.5485398,petrol_pump,,,IBP
Indian Oil,25.7293344,83.5458034,petrol_pump,,,Indian Oil
IBP,25.7706176,83.5536783,petrol_pump,,,IBP
Indian Oil,25.8325808,83.5579199,petrol_pump,,,Indian Oil
NRL,25.8909632,83.560484,petrol_pump,,,NRL
Indian Oil,25.8987875,83.5611688,petrol_pump,,,Indian Oil
Indian Oil,25.4637202,83.1183409,petrol_pump,,,Indian Oil
Indian Oil,25.5408428,83.1870583,petrol_pump,,,Indian Oil
Indian Oil,25.5403315,83.211525,petrol_pump,,,Indian Oil
IBP,25.540783,83.2205785,petrol_pump,,,IBP
Bharat Petrolium,25.4478976,83.0312858,petrol_pump,,,Bharat Petrolium
HP,13.07286,80.1888928,petrol_pump,,,
Indian Oil,13.0718881,80.1879592,petrol_pump,,,Indian Oil
Essar Petrol station,12.9488925,80.1854622,petrol_pump,,,
HP petrol station,12.9493847,80.1857038,petrol_pump,,,
BP,12.9498294,80.1856658,petrol_pump,,,Immanuel Agency
Indian Oil,12.920301,80.1845415,petrol_pump,,,
IBP Petrol Station,12.9655809,80.2003887,petrol_pump,,,
Bharat Petroleum,12.9640355,80.214439,petrol_pump,,,Bharat
Petrol Pump,12.6123706,80.0561494,petrol_pump,,,
BP petrol station,12.6828948,79.9862021,petrol_pump,,,
Petrol Pump,18.9761344,72.8467663,petrol_pump,,,
Indian Oil,13.0382505,77.5209319,petrol_pump,,,Indian Oil
Anyees Filling Station,34.1128616,74.7177341,petrol_pump,,,
Bharat Petrolium,25.9438383,83.5689208,petrol_pump,,,Bharat Petrolium
Hindustan Petroleum Corporation Limited,32.4636891,76.4779762,petrol_pump,,,Thakur Fuel Station
Indian Oil Corporation Limited,32.5577463,76.118193,petrol_pump,,,
HP marangattupilly,9.7473533,76.6098634,petrol_pump,,,
Petrol Pump,28.5910461,77.037474,petrol_pump,,,
Petrol Pump,28.5790955,77.0552344,petrol_pump,,,
CNG Fuel Station,28.5959237,77.0290084,petrol_pump,,,IGL
Petrol Pump,28.5436162,77.0668071,petrol_pump,,,
Indian Oil Corporation Limited,32.1390902,76.4141706,petrol_pump,,,
Petrol Pump,28.5733376,77.0639396,petrol_pump,,,
HP,28.5209438,77.0822696,petrol_pump,,,
Petrol Pump,28.5226175,77.0230835,petrol_pump,,,
Petrol Pump,28.4798102,77.0151659,petrol_pump,,,
Petrol Pump,29.2079633,79.2128319,petrol_pump,,,
Prerana,17.2511847,80.1567278,petrol_pump,,,Bharat Petroleum
Petrol Pump,29.9076021,79.6221346,petrol_pump,,,
Petrol Pump,29.3953515,80.0878427,petrol_pump,,,
Kekan Petrol Pump (HP),18.5751028,73.8970804,petrol_pump,,,
Indian Oil,18.5736645,73.8849523,petrol_pump,,,Sawant Petrol Pump
Petrol Pump,18.5752812,73.8765095,petrol_pump,,,
Essar,25.9145034,83.9449268,petrol_pump,,,Essar
Petrol Pump,9.7136678,76.6870861,petrol_pump,,,
HP,9.7139177,76.6885664,petrol_pump,,,
thottumkal Pump,9.7126631,76.6905839,petrol_pump,,,
Petrol Pump,26.094915,85.2387388,petrol_pump,,,
Bharat Petroleum,11.2157323,75.7972501,petrol_pump,,,
Petrol Pump,30.7910311,75.7469709,petrol_pump,,,IO
Indian Oil,30.8253282,75.8154075,petrol_pump,,,IO
Indian Oil,30.5317907,75.5709044,petrol_pump,,,IO
HP,28.5490758,77.2501351,petrol_pump,,,
In & Out,28.5503785,77.2478224,petrol_pump,,,
