name,lat,lng,type,state,district,operator
ICICI Bank ATM,18.5097727,73.8141239,atm,,,ICICI Bank
ATM,18.5118583,73.8090867,atm,,,
State Bank Of India ATM,18.5097269,73.8088775,atm,,,State Bank Of India ATM
Andhra Bank,17.4945527,78.5127424,atm,,,Andhra Bank
State Bank,17.4995159,78.5135253,atm,,,State Bank
ATM,17.5115428,78.5193884,atm,,,
HDFC Bank,16.7157576,74.2413008,atm,,,HDFC Bank
UBI ATM,18.6738631,73.8917056,atm,,,UBI ATM
Punjab National Bank,28.9762968,77.7322712,atm,,,Punjab National Bank
Axis Bank,28.9637674,77.7412956,atm,,,Axis Bank
HDFC Bank,28.9632323,77.7409522,atm,,,HDFC Bank
ATM,12.9955696,77.6017708,atm,,,
ATM,22.1595839,86.6069718,atm,,,
Bank of India ATM,26.469099,80.315616,atm,,,Bank of India ATM
Central Bank of India ATM,26.466406,80.2901563,atm,,,Central Bank of India ATM
Bank of Baroda ATM,26.466489,80.3136645,atm,,,Bank of Baroda ATM
HDFC Bank,18.4779601,73.8240347,atm,,,HDFC Bank
Bank of Baroda ATM,28.6183692,77.2865244,atm,,,Bank of Baroda
ICICI Bank ATM,28.6183527,77.2865333,atm,,,ICICI Bank
ATM,28.613238,77.2896502,atm,,,
Canara Bank,17.4838565,78.4982157,atm,,,
ATM,17.483877,78.4986341,atm,,,
ATM,18.477369,73.8190575,atm,,,
State Bank of India,18.4740659,73.8135399,atm,,,State Bank of India
ICICI Bank,11.3505137,76.8001958,atm,,,ICICI Bank
Canara Bank,12.8895751,77.5630383,atm,,,Canara Bank
ICICI Bank,12.8941977,77.5680809,atm,,,ICICI Bank
Axis Bank ATM,12.9564144,77.7147259,atm,,,Axis Bank ATM
SBI,30.8681668,75.8592697,atm,,,SBI
Canara Bank,12.9472312,80.2099457,atm,,,Canara Bank
ATM,30.3357156,76.3847681,atm,,,
ICICI Bank,12.9083281,77.5639541,atm,,,ICICI Bank
HDFC Bank,12.9113882,77.5747186,atm,,,HDFC Bank
HDFC Bank,18.9300109,72.8265307,atm,,,HDFC Bank
Bank of Baroda,18.9300997,72.8260774,atm,,,Bank of Baroda
Canara Bank,12.9083213,77.5641425,atm,,,Canara Bank
HDFC Bank,12.9084259,77.5639762,atm,,,HDFC Bank
Axis Bank,30.9175861,74.613568,atm,,,Axis Bank
State Bank of India,30.9260754,74.6158463,atm,,,State Bank of India
State Bank of India,30.9412104,74.6168471,atm,,,State Bank of India
Infant Jesus College,8.7363149,77.8930269,atm,,,Infant Jesus College
ATM,8.7375026,77.8914819,atm,,,
ATM,12.9716449,77.6574777,atm,,,
ATM,12.9713312,77.6573918,atm,,,
State Bank,17.9977633,79.5446821,atm,,,State Bank
Federal Bank,12.9718996,77.6508166,atm,,,Federal Bank
ICICI Bank,18.01007,79.5601499,atm,,,ICICI Bank
ICICI,17.9948505,79.545802,atm,,,ICICI
ATM,20.2784627,73.0012682,atm,,,
Bank of India,30.9408443,74.6167785,atm,,,Bank of India
HSBC,19.1089394,72.8532603,atm,,,HSBC
ICICI Bank,30.9297254,74.6208575,atm,,,ICICI Bank
SBI,19.8831553,75.3227456,atm,,,SBI
ICICI Bank,28.587482,77.312688,atm,,,ICICI Bank
ICICI Bank,28.6436143,77.3262336,atm,,,ICICI Bank
Standard Chartered,28.4516306,77.0749768,atm,,,Standard Chartered
HDFC Bank,28.4516536,77.0749759,atm,,,HDFC Bank
Indian Overseas Bank,12.965518,77.7187392,atm,,,Indian Overseas Bank
HDFC Bank,12.9251154,77.6817088,atm,,,HDFC Bank
ICICI Bank,12.9249638,77.681639,atm,,,ICICI Bank
Axis Bank,31.379011,75.8238247,atm,,,Axis Bank
Syndicate Bank,15.3617081,75.1318181,atm,,,Syndicate Bank
State Bank of India,12.9641783,77.7141945,atm,,,State Bank of India
ATM,13.0317411,77.611461,atm,,,
ATM,9.9050969,78.105316,atm,,,
Standard Chartered,28.4675617,77.0815273,atm,,,Standard Chartered
SBI,12.8355112,77.401038,atm,,,SBI
RBL Bank,28.4625378,77.0869209,atm,,,RBL Bank
Axis Bank,12.925884,77.6753891,atm,,,Axis Bank
ATM,12.9580151,80.2069066,atm,,,
Punjab National Bank,28.477754,77.0726,atm,,,Punjab National Bank
ATM,28.417564,77.0564,atm,,,
ICICI Bank,12.9655798,77.5845651,atm,,,ICICI Bank
HDFC,28.4572283,77.063349,atm,,,HDFC Bank
ICICI,28.4568866,77.0633617,atm,,,ICICI Bank
Axis Bank,28.4571018,77.0633534,atm,,,Axis Bank
Citi Bank,28.4569906,77.0633723,atm,,,Citibank
South Indian Bank,10.0039228,76.2894929,atm,,,South Indian Bank
ATM,28.6608921,77.2790244,atm,,,
ICICI Bank,11.2426348,76.9593134,atm,,,ICICI Bank
State Bank of India,11.2428178,76.9607212,atm,,,State Bank of India
ATM,11.0259906,76.9459943,atm,,,
State Bank of India,32.2236305,78.0734061,atm,,,State Bank of India
State Bank of India,18.5979983,73.803803,atm,,,State Bank of India
ATM,17.4504012,78.5356217,atm,,,
State bank of India,17.4506458,78.5323638,atm,,,State bank of India
Axis Bank,17.450697,78.5324094,atm,,,Axis Bank
ICICI ATM,17.4567294,78.5362929,atm,,,ICICI
